src_region,dst_region,edge_weight,edge_type
iCg,iAcb,0.037049389986615416,ipsi
cCg,cAcb,0.037049389986615416,contra_internal
iCg,iTC,0.013528051107010502,ipsi
cCg,cTC,0.013528051107010502,contra_internal
iCg,iMDThal,0.01830948416775015,ipsi
cCg,cMDThal,0.01830948416775015,contra_internal
iCg,iDpMe,0.083060241852003,ipsi
cCg,cDpMe,0.083060241852003,contra_internal
iCg,iAu,0.006963538533603257,ipsi
cCg,cAu,0.006963538533603257,contra_internal
iCg,iCl,0.016846692673335502,ipsi
cCg,cCl,0.016846692673335502,contra_internal
iCg,iCPu,0.6212142334150991,ipsi
cCg,cCPu,0.6212142334150991,contra_internal
iCg,iPnO,0.04365893333413602,ipsi
cCg,cPnO,0.04365893333413602,contra_internal
iCg,iEct,0.027922218343156557,ipsi
cCg,cEct,0.027922218343156557,contra_internal
iCg,iLEnt,0.01930547615591546,ipsi
cCg,cLEnt,0.01930547615591546,contra_internal
iCg,iEnt,0.010999128194622409,ipsi
cCg,cEnt,0.010999128194622409,contra_internal
iCg,iIC,0.04883301305250026,ipsi
cCg,cIC,0.04883301305250026,contra_internal
iCg,iLDThal,0.1025484698779336,ipsi
cCg,cLDThal,0.1025484698779336,contra_internal
iCg,iCauThal,0.016998272349871942,ipsi
cCg,cCauThal,0.016998272349871942,contra_internal
iCg,iLS,0.007350363744132582,ipsi
cCg,cLS,0.007350363744132582,contra_internal
iCg,iM1,0.03850474089056466,ipsi
cCg,cM1,0.03850474089056466,contra_internal
iCg,iM2,0.28696026335436775,ipsi
cCg,cM2,0.28696026335436775,contra_internal
iCg,iM,0.17786476373928242,ipsi
cCg,cM,0.17786476373928242,contra_internal
iCg,iSC,0.009688974670818319,ipsi
cCg,cSC,0.009688974670818319,contra_internal
iCg,iDP,0.036663312334050145,ipsi
cCg,cDP,0.036663312334050145,contra_internal
iCg,iMO,0.05929482550063362,ipsi
cCg,cMO,0.05929482550063362,contra_internal
iCg,iVO,0.10539379841888065,ipsi
cCg,cVO,0.10539379841888065,contra_internal
iCg,iPAG,0.1796518461599971,ipsi
cCg,cPAG,0.1796518461599971,contra_internal
iCg,iPS,0.00737694023197785,ipsi
cCg,cPS,0.00737694023197785,contra_internal
iCg,iPir,0.008995545971505226,ipsi
cCg,cPir,0.008995545971505226,contra_internal
iCg,iPrL,0.13705302372737163,ipsi
cCg,cPrL,0.13705302372737163,contra_internal
iCg,iVLThal,0.015345973524867426,ipsi
cCg,cVLThal,0.015345973524867426,contra_internal
iCg,iRSC,0.1771224277370312,ipsi
cCg,cRSC,0.1771224277370312,contra_internal
iCg,iRSC-b,0.142703671914111,ipsi
cCg,cRSC-b,0.142703671914111,contra_internal
iCg,iRSA,0.1771224277370312,ipsi
cCg,cRSA,0.1771224277370312,contra_internal
iCg,iVMThal,0.031724258626167685,ipsi
cCg,cVMThal,0.031724258626167685,contra_internal
iCg,iSuC,0.20805793581095666,ipsi
cCg,cSuC,0.20805793581095666,contra_internal
iCg,iSN,0.014746597776803805,ipsi
cCg,cSN,0.014746597776803805,contra_internal
iCg,iS1-b,0.020989074373938432,ipsi
cCg,cS1-b,0.020989074373938432,contra_internal
iCg,iSuM,0.008572405886185627,ipsi
cCg,cSuM,0.008572405886185627,contra_internal
iCg,iTeA,0.015420570963284513,ipsi
cCg,cTeA,0.015420570963284513,contra_internal
iCg,iV,0.12858536045917712,ipsi
cCg,cV,0.12858536045917712,contra_internal
iCg,iV-b,0.06024192667745649,ipsi
cCg,cV-b,0.06024192667745649,contra_internal
iCg,iVTA,0.029821280518203454,ipsi
cCg,cVTA,0.029821280518203454,contra_internal
iAcb,iTC,0.03202325583433907,ipsi
cAcb,cTC,0.03202325583433907,contra_internal
iAcb,iLS,0.02910593761768469,ipsi
cAcb,cLS,0.02910593761768469,contra_internal
iAcb,iMO,0.00830252824966538,ipsi
cAcb,cMO,0.00830252824966538,contra_internal
iAcb,iPir,0.07837213058931543,ipsi
cAcb,cPir,0.07837213058931543,contra_internal
iAcb,iot,0.19506943561218132,ipsi
cAcb,cot,0.19506943561218132,contra_internal
iAcb,iSN,0.02497000380791844,ipsi
cAcb,cSN,0.02497000380791844,contra_internal
iAcb,iVTA,0.021036135362675564,ipsi
cAcb,cVTA,0.021036135362675564,contra_internal
