region_id,snca_prior,hemisphere,vulnerability
iM2,0.9859621988203785,0.0,0.9859621988203785
iM1,0.7039611670508832,0.0,0.7039611670508832
iAI,0.7250328088450216,0.0,0.7250328088450216
iPrL,0.8684417654281127,0.0,0.8684417654281127
iMO,0.6369775101662002,0.0,0.6369775101662002
iVO,0.2815071922547962,0.0,0.2815071922547962
iDP,0.5134606850277074,0.0,0.5134606850277074
cM2,0.9859621988203785,1.0,0.9859621988203785
cM1,0.7039611670508832,1.0,0.7039611670508832
cAI,0.7250328088450216,1.0,0.7250328088450216
cPrL,0.8684417654281127,1.0,0.8684417654281127
cMO,0.6369775101662002,1.0,0.6369775101662002
cVO,0.2815071922547962,1.0,0.2815071922547962
cDP,0.5134606850277074,1.0,0.5134606850277074
iCg,0.850819854181807,0.0,0.850819854181807
iM,0.6693772017660997,0.0,0.6693772017660997
iS1,0.5495293706048983,0.0,0.5495293706048983
iAI-b,0.8898762875193577,0.0,0.8898762875193577
iCl,0.5174645321841087,0.0,0.5174645321841087
iDEn,0.5817628054158398,0.0,0.5817628054158398
iPir,0.754818814971068,0.0,0.754818814971068
iAcb,0.4191339887481676,0.0,0.4191339887481676
iot,0.11466794857442668,0.0,0.11466794857442668
iCPu,0.40469259250436057,0.0,0.40469259250436057
iLS,0.3696946686187728,0.0,0.3696946686187728
iMS,0.18266515574959954,0.0,0.18266515574959954
cCg,0.850819854181807,1.0,0.850819854181807
cM,0.6693772017660997,1.0,0.6693772017660997
cS1,0.5495293706048983,1.0,0.5495293706048983
cAI-b,0.8898762875193577,1.0,0.8898762875193577
cCl,0.5174645321841087,1.0,0.5174645321841087
cDEn,0.5817628054158398,1.0,0.5817628054158398
cPir,0.754818814971068,1.0,0.754818814971068
cAcb,0.4191339887481676,1.0,0.4191339887481676
cot,0.11466794857442668,1.0,0.11466794857442668
cCPu,0.40469259250436057,1.0,0.40469259250436057
cLS,0.3696946686187728,1.0,0.3696946686187728
cMS,0.18266515574959954,1.0,0.18266515574959954
iRSC,0.3615617692437668,0.0,0.3615617692437668
iS1-b,0.6642608587533123,0.0,0.6642608587533123
iS2,0.868726497746592,0.0,0.868726497746592
iIns,0.9027301196564607,0.0,0.9027301196564607
iAIP,0.7830948628663217,0.0,0.7830948628663217
iEn,0.7951732916587202,0.0,0.7951732916587202
iHipp,0.888376916595362,0.0,0.888376916595362
iMDThal,0.343169382488721,0.0,0.343169382488721
iLDThal,0.04618381699570732,0.0,0.04618381699570732
iVLThal,0.14271492232613495,0.0,0.14271492232613495
iVMThal,0.0,0.0,0.0
iTC,0.07666980897361449,0.0,0.07666980897361449
iCA,0.3928777116345432,0.0,0.3928777116345432
iBLA,0.9419350345202396,0.0,0.9419350345202396
iBMA,0.5384848417422249,0.0,0.5384848417422249
cRSC,0.3615617692437668,1.0,0.3615617692437668
cS1-b,0.6642608587533123,1.0,0.6642608587533123
cS2,0.868726497746592,1.0,0.868726497746592
cIns,0.9027301196564607,1.0,0.9027301196564607
cAIP,0.7830948628663217,1.0,0.7830948628663217
cEn,0.7951732916587202,1.0,0.7951732916587202
cHipp,0.888376916595362,1.0,0.888376916595362
cMDThal,0.343169382488721,1.0,0.343169382488721
cLDThal,0.04618381699570732,1.0,0.04618381699570732
cVLThal,0.14271492232613495,1.0,0.14271492232613495
cVMThal,0.0,1.0,0.0
cTC,0.07666980897361449,1.0,0.07666980897361449
cCA,0.3928777116345432,1.0,0.3928777116345432
cBLA,0.9419350345202396,1.0,0.9419350345202396
cBMA,0.5384848417422249,1.0,0.5384848417422249
iRSC-b,0.3473466879629612,0.0,0.3473466879629612
iV,0.6298693264819257,0.0,0.6298693264819257
iAu,0.6531422758065052,0.0,0.6531422758065052
iTeA,0.9999999999999593,0.0,0.9999999999999593
iEct,0.8919637616314269,0.0,0.8919637616314269
iPRh,0.8794777368122028,0.0,0.8794777368122028
iLEnt,0.6855139765644545,0.0,0.6855139765644545
iBLP,0.867080024193727,0.0,0.867080024193727
iPMCo,0.4167475539555146,0.0,0.4167475539555146
iSC,0.06791464631740161,0.0,0.06791464631740161
iCauThal,0.018137660881628864,0.0,0.018137660881628864
iSN,0.47826194632402713,0.0,0.47826194632402713
iMamm,0.10643450883255051,0.0,0.10643450883255051
iDpMe,0.054275927461876435,0.0,0.054275927461876435
iVTA,0.30880253953146725,0.0,0.30880253953146725
iPAG,0.21176470103818545,0.0,0.21176470103818545
cRSC-b,0.3473466879629612,1.0,0.3473466879629612
cV,0.6298693264819257,1.0,0.6298693264819257
cAu,0.6531422758065052,1.0,0.6531422758065052
cTeA,0.9999999999999593,1.0,0.9999999999999593
cEct,0.8919637616314269,1.0,0.8919637616314269
cPRh,0.8794777368122028,1.0,0.8794777368122028
cLEnt,0.6855139765644545,1.0,0.6855139765644545
cBLP,0.867080024193727,1.0,0.867080024193727
cPMCo,0.4167475539555146,1.0,0.4167475539555146
cSC,0.06791464631740161,1.0,0.06791464631740161
cCauThal,0.018137660881628864,1.0,0.018137660881628864
cSN,0.47826194632402713,1.0,0.47826194632402713
cMamm,0.10643450883255051,1.0,0.10643450883255051
cDpMe,0.054275927461876435,1.0,0.054275927461876435
cVTA,0.30880253953146725,1.0,0.30880253953146725
cPAG,0.21176470103818545,1.0,0.21176470103818545
iSuM,0.31608880371328435,0.0,0.31608880371328435
cSuM,0.31608880371328435,1.0,0.31608880371328435
iV-b,0.8616100855137281,0.0,0.8616100855137281
iEnt,0.9857081303585933,0.0,0.9857081303585933
iPS,0.36601000053626975,0.0,0.36601000053626975
iRSA,0.7740700073698272,0.0,0.7740700073698272
iSuC,0.10647458909493515,0.0,0.10647458909493515
iIC,0.10551580882763673,0.0,0.10551580882763673
iPnO,0.19087042343233204,0.0,0.19087042343233204
cV-b,0.8616100855137281,1.0,0.8616100855137281
cEnt,0.9857081303585933,1.0,0.9857081303585933
cPS,0.36601000053626975,1.0,0.36601000053626975
cRSA,0.7740700073698272,1.0,0.7740700073698272
cSuC,0.10647458909493515,1.0,0.10647458909493515
cIC,0.10551580882763673,1.0,0.10551580882763673
cPnO,0.19087042343233204,1.0,0.19087042343233204
