organoid_id,region_id,time_idx,condition,burden,burden_norm,delta_burden,pathology_z,target_positive
control_pseudo_0,cAI,0,control,0.001712224,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cAI,1,control,0.070628841,0.7132573204294494,0.7132573204294494,2.3825317915189568,1
control_pseudo_0,cAI,2,control,0.0476225,0.4751515942800335,-0.23810572614941594,1.3823632172164055,1
control_pseudo_0,cAI-b,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cAI-b,1,control,0.02213223,0.2846087570385075,0.2846087570385075,0.581983650755116,1
control_pseudo_0,cAI-b,2,control,0.02855604,0.36721555172442644,0.08260679468591892,0.9289753901174571,1
control_pseudo_0,cAIP,0,control,0.0035426,0.05944645460261656,0.0,-0.36381577480203087,1
control_pseudo_0,cAIP,1,control,0.044858215,0.7527414445751462,0.6932949899725297,2.548385762328568,1
control_pseudo_0,cAIP,2,control,0.03892705,0.6532137725508905,-0.09952767202425572,2.1303174888688794,1
control_pseudo_0,cAcb,0,control,6.82395e-05,0.012825069207237071,0.0,-0.5596499755034693,0
control_pseudo_0,cAcb,1,control,0.0012855,0.2415994616886591,0.228774392481422,0.40132211729488526,1
control_pseudo_0,cAcb,2,control,0.00532079,0.9999999998120579,0.7584005381233988,3.587001005542941,1
control_pseudo_0,cAu,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cAu,1,control,0.001136534,0.07363687577292033,0.07363687577292033,-0.3042085845837275,1
control_pseudo_0,cAu,2,control,0.0,0.0,-0.07363687577292033,-0.6135219734254534,0
control_pseudo_0,cBLA,0,control,0.000361817,0.0018327387849338894,0.0,-0.6058235120434452,0
control_pseudo_0,cBLA,1,control,0.07213125,0.3653718301814525,0.3635390913965186,0.9212307954079203,1
control_pseudo_0,cBLA,2,control,0.1886331,0.9554973881611777,0.5901255579797252,3.400066762644179,1
control_pseudo_0,cBLP,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cBLP,1,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cBLP,2,control,0.0206863,0.9999999999516589,0.9999999999516589,3.5870010061293383,1
control_pseudo_0,cBMA,0,control,0.001600998,0.02829863064278363,0.0,-0.4946529251147612,0
control_pseudo_0,cBMA,1,control,0.0,0.0,-0.02829863064278363,-0.6135219734254534,0
control_pseudo_0,cBMA,2,control,0.021366805,0.37767150409393546,0.37767150409393546,0.9728958583208333,1
control_pseudo_0,cCA,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cCA,1,control,0.00057646,0.04684493898993638,0.04684493898993638,-0.4167487307128712,1
control_pseudo_0,cCA,2,control,0.000931043,0.07565946038234628,0.0288145213924099,-0.2957126714533293,1
control_pseudo_0,cCPu,0,control,0.007173335,0.32044560152043955,0.0,0.7325171395234799,1
control_pseudo_0,cCPu,1,control,0.002546787,0.11072656093394666,-0.20971904058649288,-0.14841250975285272,1
control_pseudo_0,cCPu,2,control,0.005259814,0.23370667905338494,0.12298011811943828,0.3681683024611825,1
control_pseudo_0,cCauThal,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cCauThal,1,control,0.00430648,0.1684887585543316,0.1684887585543316,0.0942189287128884,1
control_pseudo_0,cCauThal,2,control,0.01658434,0.6488535551176237,0.48036479656329206,2.112002295343701,1
control_pseudo_0,cCg,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cCg,1,control,0.005834967,0.2080416484904134,0.2080416484904134,0.26036175180523297,1
control_pseudo_0,cCg,2,control,0.006054488,0.21586851550067482,0.007826867010261418,0.2932386865413447,1
control_pseudo_0,cCl,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cCl,1,control,0.008285465,0.4006256371801975,0.4006256371801975,1.0693152218300968,1
control_pseudo_0,cCl,2,control,0.0,0.0,-0.4006256371801975,-0.6135219734254534,0
control_pseudo_0,cDEn,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cDEn,1,control,0.00046212,0.05469005182907405,0.05469005182907405,-0.3837951539532801,1
control_pseudo_0,cDEn,2,control,0.001528865,0.18093505169578744,0.1262449998667134,0.1464998690663762,1
control_pseudo_0,cDP,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cDP,1,control,0.044170233,0.5522008720333149,0.5522008720333149,1.7060104789928094,1
control_pseudo_0,cDP,2,control,0.00532746,0.06660204979499663,-0.4855988222383183,-0.3337585327625935,1
control_pseudo_0,cDpMe,0,control,0.0,0.0,0.0,-0.6135219734254534,0
control_pseudo_0,cDpMe,1,control,0.002289858,0.050987772328306896,0.050987772328306896,-0.3993466640737389,1
